,install_date,platform,lt,installs,iap_revenue,ads_revenue
203,2021-05-02,ios,10,605,67.26050032120645,99.4098580289101
204,2021-05-02,android,11,2280,276.0021710508708,388.85557970811897
205,2021-05-02,ios,11,560,157.26260552647926,145.5328737928212
206,2021-05-02,android,12,2269,267.1763930835245,398.62624356772676
207,2021-05-02,ios,12,601,201.3020442730615,105.29491489815337
208,2021-05-02,android,13,2196,243.06244996663747,394.2794264717123
209,2021-05-02,ios,13,565,88.53023337812186,95.5750368520603
210,2021-05-02,android,14,2058,119.50535141212195,339.49702880109
211,2021-05-02,ios,14,530,118.2479363846152,87.17156379280277
212,2021-05-02,android,15,1896,62.97782651247168,265.25963600106616
213,2021-05-02,ios,15,480,46.174847213594916,41.73574796387402
214,2021-05-02,android,16,1813,134.55878891042187,305.19327898146173
215,2021-05-02,ios,16,489,53.134906198346016,50.35673406881142
216,2021-05-02,android,17,1710,78.53397083232797,244.3182501131838
217,2021-05-02,ios,17,457,30.526937596923112,42.37115506464579
218,2021-05-02,android,18,1634,239.90883581363713,249.66804977831237
219,2021-05-02,ios,18,445,25.106494798826095,44.03686396279954
220,2021-05-02,android,19,1653,179.3939856830144,258.0443822025163
221,2021-05-02,ios,19,436,80.92571010819476,45.435535005171914
222,2021-05-02,android,20,1634,96.60944756648767,235.7161563117694
223,2021-05-02,ios,20,438,109.33980252358614,46.59683709477031
224,2021-05-02,android,21,1547,121.76073751814897,234.42153216068482
225,2021-05-02,ios,21,433,6.053534796908916,42.99448590807697
226,2021-05-02,android,22,1472,59.2671065508855,178.91536003405838
227,2021-05-02,ios,22,400,35.97541308810031,37.40672692583394
228,2021-05-02,android,23,1427,103.93836317633708,226.99277504467534
229,2021-05-02,ios,23,366,15.411194874122144,36.966471936983
230,2021-05-02,android,24,1369,60.271766310405546,202.1316876206646
231,2021-05-02,ios,24,367,73.54612357835413,35.80198796197874
232,2021-05-02,android,25,1334,152.03305453762,201.46616169163292
233,2021-05-02,ios,25,370,27.54189451411974,38.37892698387623
234,2021-05-02,android,26,1342,80.85577913809573,201.70595984707995
235,2021-05-02,ios,26,381,79.40578980471088,45.653268884298996
236,2021-05-02,android,27,1355,145.96627339018835,203.34662489587697
237,2021-05-02,ios,27,385,29.371999499797823,40.924131938566916
238,2021-05-02,android,28,1259,68.3877040720696,182.40409942485906
239,2021-05-02,ios,28,354,22.165233236493705,35.20277585812801
240,2021-05-02,android,29,1215,50.3698126991458,136.21821075386856
241,2021-05-02,ios,29,334,1.1618543802137375,25.618964925319233
242,2021-05-02,android,30,1188,29.2082055829131,148.13056979199962
243,2021-05-02,ios,30,328,42.28389561655438,27.261877844156515
244,2021-05-02,android,31,1162,27.01710712788892,132.83817734761726
245,2021-05-02,ios,31,320,4.192999928593636,24.571335972574616
246,2021-05-02,android,32,1103,60.95823802609479,137.0457517429303
247,2021-05-02,ios,32,314,41.32925341622538,31.921345941822437
248,2021-05-02,android,33,1110,112.08824377264129,149.48068689097374
249,2021-05-02,ios,33,339,55.76734760257882,36.954620079459346
250,2021-05-02,android,34,1030,83.9773886201018,137.6812703396273
251,2021-05-02,ios,34,277,44.512446661121615,35.383638950126624
252,2021-05-02,android,35,1080,135.27776095642363,145.19339531871674
253,2021-05-02,ios,35,299,6.99299988090992,31.108961860380987
254,2021-05-02,android,36,1049,80.71116195004731,117.21309222733078
255,2021-05-02,ios,36,296,23.544007499047932,24.031017959981
256,2021-05-02,android,37,991,110.74535156283594,111.30027651593605
257,2021-05-02,ios,37,280,35.89591478103107,25.993280896647775
258,2021-05-02,android,38,991,47.89946758548117,112.43480770998417
259,2021-05-02,ios,38,274,9.078999845385551,22.197097898714674
